site,n_obs,rmse_log,mae_log,r2_log,years
114021_46842,727,0.5014960334247988,0.39872721116118265,0.1155507076394866,2018-2019
114158_46244,715,0.7496870414190034,0.6093838018589441,0.14380181344342036,2018-2019
115324_47594,719,0.4893705209565491,0.3754651615111942,0.2632175684697837,2018-2019
112501_46003,730,0.880046325354143,0.714906351639686,-0.2280186730200835,2018-2019
111092_44658,721,0.8526792752912429,0.6878939082831474,-0.19505341104040919,2018-2019
112013_46659,730,0.6403683337110729,0.5080164250232618,0.001989236722846899,2018-2019
111303_47494,727,0.36913038837881074,0.2873566122725775,0.40341622286327483,2018-2019
111056_45684,710,0.5556358595210232,0.452364147544428,-0.5030259898663609,2018-2019
114224_47013,697,0.43909205433504933,0.3481155412538877,0.21753294565578618,2018-2019
105370_45440,727,0.42790895567884185,0.3263708400231054,0.4237453432562861,2018-2019
106490_45366,707,0.5441272223546124,0.44038736853796395,0.12931040301031194,2018-2019
114189_48364,726,0.6640916820802241,0.500877772267944,0.17752905254045515,2018-2019
111987_46850,711,0.5745318103687811,0.45193014719877406,0.2702263383078469,2018-2019
109455_47049,722,0.5272787181452778,0.4192604092575807,0.08448581353312667,2018-2019
107862_48318,726,0.44848968010060564,0.3428441074841682,0.4037301412587653,2018-2019
104677_47868,704,0.4988185077808148,0.39375174965438586,0.08842603143024708,2018-2019
108720_47582,222,0.4027027976476662,0.30709767599239524,0.5285217538817653,2018-2019
113997_48510,221,0.503621240035481,0.40538776025935885,0.40616235416478863,2018-2019
111712_46826,147,0.4370068403986005,0.3484077269180405,0.4461774390683706,2018-2019
113155_47122,223,0.5180217399514471,0.40850857071179125,0.4029806191200811,2018-2019
114001_45860,236,0.41768785406018927,0.33461980922325324,0.5586772813029022,2018-2019
115672_47955,218,0.4453833459764872,0.34235218755385255,0.5659309036764861,2018-2019
104476_48487,216,0.4706009936585438,0.36770478487370156,0.30200270944482766,2018-2019
114270_47773,211,0.4739412571251461,0.38058698365620347,0.5313238461391141,2018-2019
105103_48308,198,0.5258293884070625,0.41952757620823933,0.28659067241781633,2018-2019
106557_45648,235,0.4180418963059271,0.3466142899513733,0.38763893287287277,2018-2019
113484_47177,728,0.6229700615639848,0.5034949031743485,0.231536795268112,2018-2019
